"Major","Count"
"Advanced Architectural Design, Architectural Design",2
"American Studies, English",1
"Applied Economics and Mgmt",1
"Applied Economics and Mngmt",4
"Astronomy",1
"Biological Sciences",3
"Biology and Society",1
"Business Administration",1
"Chemistry and Chemical Biology",1
"College Scholar, Government",1
"Communication",2
"Continuing Education",1
"Development Sociology",1
"Economics",7
"English",1
"Envr/Sustainability Sciences",1
"French",1
"Government",2
"Government, Global Health",1
"History of Art",2
"Hotel and Restaurant Admin",1
"Industrial and Labor Relations",7
"Information Science",1
"Inter Agriculture & Rural Dev",1
"Interdisciplinary Study in ALS",1
"Linguistics",1
"Materials Science and Engr",1
"Near Eastern Studies, Philosophy",1
"Performing and Media Arts",1
"Policy Analysis and Management",3
"Psychology, Information Science",1
"Public Administration",1
"Science & Technology Studies",1
"Sociology",1
"Unaffiliated",2
"Undeclared",15
"Undergraduate Non-Candidate, Exchange Program In",1
"Urban & Regional Studies",2
